token,no_reasons,categ_1
adr15224544009,"I HAVE PLACED AN ORDER SINCE MARCH 8, 2018, YES I HAVE RECEIVED AN EMAIL SAYING I WILL RECIEVE MY ORDER BUT WHEN? HOW MUCH LONGER WILL THE ORDER TAKE? I FEEL LIKE I'M GETTING THE RUN AROUND. EITHER I GET MY ORDER OR MY MONEY BACK. SIMPLE",order delays
95fa89d7bbf29187bd2c18f570717396,"I've been waiting for it since the 5th of last month ",order delays
3dbd12b725403fddecfba60f56e95c54,"It's been processing for almost a month. ",order delays
9a4d0a27d5554f868192ed42d9b4afad,where is the phone num er\,subscription
ios15211584001085,Didn’t want to join the vip since I had problems in the past with the program,subscription
04d87c7173736f289fc1c3c083d2867e,Because your site is not real and you keep taking money from account bank people,subscription
adr1521158400399,"I'm not finished, I'll be back. I'm a VIP member I'm kinda confused. still reading about my options",subscription
96d17e04b885b9db69484675e00ff32d,I cant undo a skipped VIP month.,subscription
ios152210880029,You make it so difficult to cancel a VIP membership.,subscription
adr152461440029,want to cancel subscription with NO MORE charges.,subscription
ios1521158400583,yall took money off my card and i cant remove my card,subscription
c858553019a0049dd7e1d8abc5335811,I was not aware that I would need to spend extra money every month just to buy a few pairs of thongs one time.,subscription
adr15215040008,subscription,subscription
31a33b65c982cb9a527799a3a832d9fc,Trying to find the cancel membership,subscription
adr1521158400329,"I've ordered a TON of items but I never get my 5th free. ever.  I should have like 5 free items I've earned ",subscription
6cf53c55dafd517a5b8871b90c52c9e5,Want  to be a vip but  its not really clear,subscription
d4b8b8d0c79ca0fa2fefe9576750eb08,Because I CAN NOT delete my VIP account or delete my credit card information.,subscription
3a3d5bb4a902cf8844973f4d3207bdb3,"i canceled my subscription on monday, told you not to send any thing more, and to credit my account for what was backordered. then you sent stuff annyway. please credit my card when it gets teturned as i will not accept at post office as previously stated. ",subscription
ios1521158400746,I find it impossible to find the cancel vip on here,subscription
ea782391e46f4a48888531621bed1a83,"Was looking to buy a swimsuit for an affordable price but could not sue to not being a vip member. ",subscription
91a31ab8307348adb4c19983171399c3,Trying to cancel the auto program and it is not readily accessible.,subscription
adr15237504007,did not see an unsubscribe,subscription
ios152349120016,"You won't let me delete my VIP ",subscription
23a7ae10c6234b5b3974fdac75ed0c24,wanting to know the cost of vip,subscription
e377d1811c67cd78114fd45cfa2cc829,Didn't know I had to be a VIP to get sale price. Extremely disappointed and will look else where.,subscription
b8e98c8db751337d07e64fbd88da12e7,"because the pricing is nuts!  I signed up for the ""VIP Membership"" and that saved me $20 on todays first purchase.  I used the code ""9KL2"" for the promo code that I could use for today only to see what I won - my email from you said it was a game.  Apparently I won the $20 discount I already had from the VIP Membership.  I got no extra discount and therefore felt set up by false advertising for discounts! Not cool Adoreme. ",product price
ios15211584001333,There were not many items that fit my budget for this month. Only have $20 to splurge on myself this month and didn’t find anything to fit that budget. Hopefully I’ll have more money next month because I’m in desperate need of a new bra that fits properly.,product price
ios1521158400888,Was more expensive then I wanted to pay,product price
ios152228160037,Prices too high,product price
ios152409600052,"Even with VIP, items are still pricey. ",product price
ios152245440016,Looking for good priced bra and panty sets to purchase in my price range didn’t find what I was looking for,product price
ios1521158400595,"Price and you have to be a member ",product price
adr1521158400153,to expensive I hate that your bras are way too expensive,product price
ios15211584001418,"I have no funds to spend on today ",product price
ios1521158400398,"Some things are little too expensive ",product price
ios1521158400934,Bathing suit prices were more than my monthly payment😏,product price
ios15211584001452,"Prices are too high. ",product price
adr1521158400126,"unsure on progress and pricing for the monthly box,  site hard to maneuver around",product price
ios1521158400705,It’s too much money :(,product price
bc3fad41c3dbfeafac3fd6b3500560c2,"PRICE, I'm not VIP and I can't join VIP.",product price
5cd011c222e6abd9e3abd4acd1af2468,If I'm not a member then I get charged almost $50 for a swimsuit and I could've found it in another site I would've gotten it,product price
60d3e67183871c0d1a6915373d79df71,The product is out of my price range.,product price
026c76cd5452aee217d6ec7ecd6a8761,"You need think more about Canadians customer for us it's super expensive ",product price
ios15224544006,"No credit short on money lately and can't afford if right now. But will be able to soon ",product price
ios1521158400848,"I wanted to make a purchase, but it is not in the budget for this month.",product price
adr1521158400169,too expensive,product price
ios15221088009,"$40 is way too much for a t shirt, the prices are too high to the point where it’s not worth buying anymore. There’s nothing I like enough to spend so much money. ",product price
db0fe8a76c1800857af6ca2094e299d0,I was trying to find out what was in my Elite box and the prices but I can't find any information about what was sent to me.,product price
f41d624a17ea0b478bd3c77f43c5cb8a,The pricing is a bit too high.,product price
ad38c42d8bff12ea7a429ee93abeb2ca,Not much change in prices,product price
adr15240960002,"funds ",product price
ios1521158400145,Everything is so expensive.,product price
8fcdd82010406681d35467fc9b5ad329,Too exp,product price
ios15211584001259,bc it says my card was declined and i know there’s money on it,payment methods
adr1521158400494,"I was online last Friday trying to order 4 Bra sets with panties ,transaction didn't accept my Visa card",payment methods
ios1521158400435,"You all do not accept American Express cards and that is the only card that i have . ",payment methods
2bebbd7565a49d9955b97f12c86461c7,"For some reason your system says my bank is declining but my bank says nothing even coming to them. ",payment methods
adr1521158400301,"I have two processing orders, just received my first order today.  All the panties are too large. I wish it was possible to speak with someone or edit my order before it processes and I get more items that I can't enjoy right away. I did however send a message so hopefully this can be resolved without me having to receive the items then ship them back.",customer support
ios152452800020,"Incompetent customer service ",customer support
295b976b2a856d4ca4813545323a53d5,"Customer Service is horrible I can never get my problems resolved. I feel like email is a horrible way to contact loyal customers and I have launched multiple complaints where my problems have been ""escalated"" and I have seen no difference. ",customer support
fc4f4c9db70c28a89204c650ebde2c4c,poor customer service,customer support
c246bfee1b20f9a4b5d3cc6af2bc07e7,Contacted support via email 10 days ago.  Got a ticket number 990991 but nothing more!  Followed up with email 4 days later. No response.  Called twice today.  First time was disconnected.  Second time waited on hold over 10 minutes and gave up.,customer support
7cec75fc3ea5270f83d1869e60b101cf,"I called customer service, was placed on hold for 20 minutes then received a prompt that no one was available to take my call and to send an email.  Please note that I called within your business hours.  I have emailed you twice and received no response.  I have the confirmation of the emails.  I was simply emailing re my next box.  I purchased everything in the first box you sent.  Then I noticed today that you charged me $39.95, but I did not sign up for that service, I simply signed up to receive your boxes.  This has been the worst experience I have ever had with a monthly subscription company.  ",customer support
ios152262720065,there keeps being connection issues,customer support
ios152236800046,I don’t seem to be able to delete my cc. After repeatedly contacting support on a missing/late delivery no one has bothered to respond. I just want to delete my account now.,customer support
f343effc169065b7ad9685432016beea,I sent a message yesterday to support but have yet to hear back,customer support
878ed418b719d53e5fa3320f5fb9f2d2,No one has responded for the second time,customer support
ios1521158400687,"Because for some reason I keep calling the 800 number and they hang up on me before and so far with  my first order it came after 14 days plus it’s a wrong item.
And I sent 2 emails so far t receive a call back and nothing happened yet",customer support
114b6add1ca97848b1f7eff558e20952,Because I can't ever get to talk to someone on why it is so delayed,customer support
adr1521158400305,"waiting on customer service to get back to me
",customer support
ios152210880024,"I called the 800#, the woman on the phone spoke in circles, but never answered a direct question. I placed an order 3/17, it is 3/26.I need it by Friday. She couldn’t tell me when it would ship, but also couldn’t cancel the order. She offered me $10 as a shopping credit... ridiculous ",customer support
1c961b392037d76c9a78324cf4522303,"No phone number ",customer support
ios15217632001,"I have contacted adore me twice now regarding an estimate of my orders delivery and no one had gotten back to me. ",customer support
ios152409600061,"Could not find where I could chat with support and see when my order will ship. ",customer support
70578244dc24b25d22cdf8a0719dc3df,"There was no chat available again, and for some reason my email was returned.",customer support
ios152349120017,"I’m waiting on a email to cancel my order that was placed in March ",customer support
ios152167680033,"Representative never answered I have been trying for 4 days to see why my order is not even processed ",customer support
adr152314560010,Haven't gotten a response.,customer support
2bc22d4a3f59ff56f26f4cda859ecb09,been on hold for 35 mins and still no answer,customer support
ios1521590400108,"I’m not happy with the service. I placed an order on 3/7 and finally today (12 days later) received a notice in the app that my order is delayed. I have not been able to get through to a representative via telephone twice, nor has my email been answered. I should have received my order by now and was just notified that my order has been delayed with no other information. I’m very disappointed in Adore Me. ",customer support
ios152245440020,"No estimated time of resolution for processing issues/warehouse transfer. $5 off is honestly not worth much. Had to recommend other services for friends & family. Just so dissatisfied overall. ",customer support
0df4e81ee2bd584a4693ab5126beb2d3,I am trying to get ahold of someone to cancel my subscription because it is over a month late,customer support
ec81c02db9903c67ec31b2a8fe0be74a,"It's been a month and a half and I've also emailed you all about my order and I've received no response I'm  livid ",customer support
9a4d543664d3afeec922e3d4f575a3c7,sent three messages last three days with no answer and also called the help line...after being on hold four times for 10 minutes your lovely recording told me you couldn't take my call. I'm beyond pissed about my order from March 20th!!!,customer support
ios15211584001514,"Looking for customer service phone number and can’t find it on the app. My order is late and want to talk to someone. ",customer support
ios1521158400958,"Support is available Monday through Friday , alas today is Saturday ",customer support
ios15211584001479,"Operator couldn’t help me and wouldn’t transfer me to a supervisor to help me  ",customer support
09097842bbcc4b5e9ee84eb13c3ff63b,Takes 1-2 days to receive an email from the customer service is what it stated,customer support
adr1521158400407,waiting for someone to send me a return address and can't get on in on the line no one answers the phone,customer support
0b39be73854d95c2267b2a9eaa2d3998,"The customer service rep had no idea when I would receive my order. ",customer support
01c2c27e1189e2133553aeb42786699d,Phone hold time too long,customer support
adr152150400020,"No one answered the phone.  I was on hold for 15 minutes. I was told to back later. ",customer support
b88c94ca23ef3b0772c0ae89840b4b44,"There is a case I’m waiting to hear back from because this was a previous exchange they didn’t have in stock and this item is to large ",customer support
c66edc7c565909b8aec41ca7b0216a49,I want to speak to someone in person by telephone to discuss My account.,customer support
c77362fddc40b1e95bcdb1650bbc23d2,They dont answer my emails. My order has been processed over a week. Very bad.,customer support
ios152409600018,"When contacting customer support they told me that they are busier than usual but would ship out my order within the week . well it’s now past a week and my order still says processing when my email was forward to a supervisor all she did was give me instructions on how to cancel my order I guess my money or business doesn’t mean much to you ???. I understand you are busy but do not lie to your customers if you are not sure about a shipping date do not just say within the week to get me off the phone . I have two accounts with you guys ( because I opened the second one by mistake) navanaleeteix@gmail.com navanleeteixeira@icloud.com I have been a long time customer this is the absolute worst customer experience I have ever received ! ",customer support
adr152141760014,no response to multiple emails regarding my order status,customer support
635d901d6bc3e89b0d8aff20e913fe52,"You are unable to be reached no matter how i try, phone or email.",customer support
370a58c5966058e5a837f51168ee3d53,no one ever answers the phone,customer support
600f2e70646f6f1b1d22ead64d4f4bc0,"They have no answers for me so I dont know why this order was not completed ",customer support
6d8a3922a7587e732522a55a903ad1da,"Nobody pick up the phone after 10 min waiting is disconnected and nobody anfer mi by email  ",customer support
aa39f266e3ce3064cf89c565723f14fc,"I placed an order my order was bad. I called and was told I would get credit then I try but I could not get the same deal.d. ",customer support
ce1d99f3534499dbf84200b29c956939,"Hold times are extremely long and no one responds to emails. ",customer support
2bbfa02333bd054c53a594beeb93322d,"No response by phone chat or email for an order placed 3/6. It’s 3/22. ",customer support
9026286352d1a0254e5a0efde7ca0176,sent message a few days ago and got no response. live chat is down today. will try a call when I get a moment.,customer support
01f925110f84285d5aff61eabcf846ed,I text for the past two days and no response at all.,customer support
218b7424ba40fb2adcf259de8891b912,No answers based on my individual account. Only generalized responses.,customer support
59f53c57acb26694048c671de7f55a66,"Because your customer service is a joke. I’ve sent emails, messages on social media and I’ve contacted the BBB ",customer support
c7a8d4e2f12aa152a0ee6346f78ef0c2,No answers to a problem,customer support
5df582d4738014963cde3f4cdabe0c11,I wanted to speak to a rep or text,customer support
910bc67660c133ca9d008819239b1e81,"No one ever answers the phone when I call and I want to cancel my order because it has been a month and I still don't have my items. ",customer support
ios152167680023,"I have contacted you, more than four times, still have no response or solution. I want to know when I can legitimately expect something I’ve ALREADY PAID FOR.",customer support
6340e5ab3f97a395677a9d63242c415d,No one answered my call!!!,customer support
8dfa0f247bbb847c71184f0d7e9bec5a,"I am unable to get any information on an order that was placed over a month ago because no one from your customer service department has been able to talk to me. ",customer support
321c4902435f431d76529fb1036753df,"I SAT ON HOLD FOR 10 MINUTES BEFORE A RECORDING TOLD ME THAT YOU CAN'T ACCEPT MY CALL TODAY. ",customer support
7622565814476562218dd636ffc268e6,"I put in a order concern on Sunday about a concern I had with my March VIP box. This concern has still not been addressed, I have not been able to get in touch with an agent on the phone or via the chat. I'm a little disappointed in the customer service because it seems a lot harder to have a live conversation now.",customer support
ios15222816006,"Can’t get a straight answer about the processing of my order. Was told it was due to inclement weather, now being told it’s due to me being warehouses. Extremely upset. It’s been a month. Probably will not order again. ",customer support
970d424efba9401c6ed03fdf67f20c02,"Not able to reach anyone ",customer support
adr1521158400435,"the contact information never loaded.  and I called the number provided to check my order and my call was disconnected ",customer support
595d716bce4ca5609bcc35ae12076beb,Hard to contact,customer support
b940f3dd61918c0c3f05ddf111de967e,"chat wasn't availible and the 800 number was too long, but I did send a email.",customer support
ios1521158400630,"I need some answer, but I nothing happened until now!
I am so upset!",customer support
ios152400960019,After holding the first call for more than 10minutes i was disconnected from customer service. On my call back i waited for 15minutes and got a recorded message that your company cannot answer my call,customer support
c6db9347b9cd412ac393f572c80b8f11,"Noone has answered my email, then, after being on hold for over 10 minutes my phone call was disconnected.",customer support
ios15240096006,"I’ve been trying to contact support for a few days via email in regards to my order. I needed the items for an upcoming vacation and if they can’t arrive by then, I wanted it to be cancelled ( I need them here by the weekend ). ",customer support
b6e200ee6b7649a7ba8aec011743af1d,"Nobody got back to me ",customer support
89946e7335ad9fa8ce9343e261517d77,"I sent an email and was told there was a response or ""an update."" I got a NEW email saying I had to make a (separate? for some reason?) ""customer care"" account. I created my separate customer care account and have yet to find where the update is located or what has changed- if anything. I am so frustrated by this website and the practices I have fallen victim to because of it that I am sick to my stomach. Seeing the ""Adore Me"" logo prompts a visceral response inside of me that ruins my day.",customer support
3422132af8c14865c2f3d612aec4ec48,I have sent three messages regarding an order that was cancelled without my knowledge.  My Mastercard was charged immediately and I have yet to get a response concerning my order.,customer support
615315ae299f22f263a00c557006c352,I have asked a question about a product 2 x and have not received an answer. So I have one product in my cart and waiting on response for other,customer support
e4d2996676f1ee4d37a9df2c5dab1942,"I emailed them, they haven't emailed back. ",customer support
ios1521158400605,"Call and emailed was hung up on twice after being told they have no idea when my order that was made more than 2 weeks ago will ever get here was going to do a refund because customer service was horrible worst I have ever dealt with but can not get through no one answers the phone ",customer support
b8299cfe0c8a610afc954236fc9589b6,"I called and emailed . When I called it said they were unable to take my call and to call at a later time ",customer support
224cb80cc3ef01272dcb4a83b379be15,"Need answer about order delivery. ",customer support
adr152409600033,missing item,customer support
ios15211584001185," Couldn’t  find my size in everything I wanted.",variety and size
ios1521158400776,"Better corset selection ",variety and size
30d674abe9aea8dd300057b1c77ab8ef,Out of what I wanted,variety and size
ios15211584001280,Nothing in my size,variety and size
ios152280000053,Looking for something new style.,variety and size
ios15211584001170,I couldn’t select sizes and stuff I wanted were sold out,variety and size
ios152409600021,"Nothing good ",variety and size
ios152409600053,"Nothing new ",variety and size
ios152461440061,"The ones I like do not have my size ",variety and size
ios152271360060,"The set I wanted was out of stock, so I settled for a different color.",variety and size
792f1e2cf1db313fa3d38024df770981,Did not find anything to exchange with,variety and size
adr1521158400423,I was looking for bras with underwire,variety and size
d98dff43e409e63e01d6dce8b7f2bf46,I don't think you have anything in my size.  xxl,variety and size
adr152461440076,"didn't carry the bra i was looking for in my size ",variety and size
ios1521158400865,"Didn’t have my size in the style and color I was looking for. ",variety and size
adr15240960001,"I can never find what I like  in my size ",variety and size
fe8a8ccaf4279d015cdbf0447225f2cc,did not see the right bra and panty set,variety and size
ios15211584001045,"Not a lot of choices for plus size bikini ",variety and size
ios152202240019,I wasn’t really finding what I was looking for.  I also didn’t have the ability to do measurements to see the size I would need for a particular item,variety and size
adr152202240011,your selection of plus size lingerie is small,variety and size
adr15220224006,everything I liked and clicked on was sold out on my size it happens often hard for me to purchase due to that reason,variety and size
ios15211584001366,Cannot find nursing bras,variety and size
ios152115840035,"Your company has stopped selling 42i bra size so I won’t be able to purchase sets which i am very disappointed in but from time to time i can purchase lounge wear ",variety and size
21e1f1b425fd391923c025c6ad4f428e,Looking for bathing suits for a trip,variety and size
adr1521158400342,"always out of sizing. ",variety and size
012a2e75b6a88d9f08334ac28d162c53,"There's a lot of cute items on your site, but all of the cute colors of the bras are sold out in the size I need. I typically wear 34D and a small on the bottom. It's like, the items I like are sold out except in 30B-30DD. It is soooo hard to find cute bras in 34D, it is crazy. I went to Walmart to find this size, and they had one bra that was 34D, it was the worst! I would love it if you had bras in this size, in the cutest colors only please.",variety and size
ios1521158400777,Didn’t find anything new in Plus size.,variety and size
ios152349120013,"Didn’t have the time to go threw the enormous amount of thing that their are here still iffy on the sizes ",variety and size
f9f2495d2852e3da5b62b3d88db9e2cc,"Im a big busted women. Sadly you guys at this time are not carrying my size which is a 36H.  ",variety and size
ios15211584001276,Because y’all are sold out in my size. Not surprised your plus size tends to suck compared to your non plus size selection.,variety and size
ios1521158400984,There needs to be more bras that are 30 32 f or g,variety and size
ios152340480018,"Was trying to find a flow kind of bathing suit. Absolutely love you bra and underwear would love to get a bathing suit but with my pouch from having kiddies was looking for somethings that was flowing that would hold my breast and cover them right :) ",variety and size
998476e7ae5fd5a4169c5ddf2b12e61b,size too small,variety and size
ca8ca47ce4101088c169ef95898f3ee9,LIMITED SUPPLY - MY SIZE NOT AVAILABLE,variety and size
ios15211584001295,"i specifically downloaded this app hoping i would have more options when looking at bras with my size and having a bigger chest but very few bras once the sizes go up and the designs aren’t as cute as the other ones. it was advertised about how you had so many sizes but wasn’t the cases when i go to order ",variety and size
adr152115840019,"i havent seen anything new. ",variety and size
a7d1e4c5d3f241ee0c5e8143d69cc0e9,"I wasn’t that interested in the bathing suits in my size 32d or small ",variety and size
d4d9cca3aa1fa70c965b1d3e19e4d4f0,Could not find what I was looking for.,variety and size
ios15211584001140,"There was a lot of cute  stuff , but didn't see anything I really liked. ",variety and size
ios152236800033,"There should be a ‘new’ section and more lingerie less focus on comfy basics  ",variety and size
ios15211584001114,"Not a large variety of swim suits for busty ladies ",variety and size
ios1521158400892,What I wanted wasn’t available in my size,variety and size
ios1521158400477,"I don’t feel like there has been any new sets or lingerie available or the few things I am interested in are not available in my size. I told my husband today as we were looking I hoped the website was about to be restocked with spring/summer things because I really love Adore Me and I don’t want to cancel my monthly membership. ",variety and size
5f58563d0893f3a6547d3cdde1cf3479,Seems you run out of sizes quickly,variety and size
adr15223680009,"Looking for something I had in my wish list. ",variety and size
bccf5d09bff03708272c926013a0482d,"This site ticks me off - I can never find things I want because you consider 40 D a plus size and then you offer less than the 'ordinary 'sizes ",variety and size
c53dccdd0d6bb70fbde6ae1e292c130a,Size discrepancy.,variety and size
adr1521158400440,nothing cute in my size,variety and size
8de48fcc6eb4ec0a0068f0901beba4f9,"Wylma Unlined is the set i have been looking for and wish to buy but it is still out of stock at 34dd. customer service doesn't know when it will be in stock. very disappointing ",variety and size
d37a5f744860793033cd452321673cef,looking but seems minimal selection for plus size.,variety and size
ios152409600030,"There wasn’t enough variety for plus sizes what so ever and there is no where to register for a bridal shower ",variety and size
adr15220224006,"I placed an order almost a month ago and I have yet to receive an explanation as to why the item has not shipped other then being told the system is busy, but this is basically the first time I've been told they are busy. I'd like to think it doesn't take a month to have an order shipped. ",variety and size
ios152280000027,Cant get proper size and colour,variety and size
d2c8bff43ecd8e86039c62eb9c42bf1b,nothing caught my eye,variety and size
ios1521158400581,"There aren’t very many new lingerie sets that I have liked the last couple of months.  ",variety and size
0902d851af762b4c1f2ace159dc261c5,"Y'all don't have the right size in and this has been going on since feb 28th which is ridiculous ",variety and size
ios152115840065,I returned 4 sets and did not get the refunds to my credit card. This was a long time ago. Items were too small & a item was sent to me & not charged but I sent it back. Pleas make good. &39.95 &$49.95 to my credit card.,variety and size
adr152297280010,couldn't find anything I liked,variety and size
4b2cf823b4968091ab892777fcfffd70,"I couldn’t find my size in anything I wanted. ",variety and size
ios15211584001453,"Not very much in plus size lingerie ",variety and size
ios1521158400480,Sizes not available that I need.,variety and size
ios152409600012,"Never have the size or style I want obviously your company doesn’t produce enough of each item ",variety and size
565564a39ea6d762fc40f1cf4a392f22,On my vip elite box i need to go up one cup size i wear a 38 DDD  but i need to go up to a 40 DDD,variety and size
adr15233184001,just didn't find anything that I wanted,variety and size
adr1521158400233,you guys were out of everything that I wanted,variety and size
ios15211584001513,I have a favorite bra panty combo and wanted to order more colors but of the 3 colors I was looking for none were available in my size,variety and size
ios152271360025,Nothing new,variety and size
1a6b70931333f5b9e37a2504001c170c,I wasn't able to find anything I like any more,variety and size
adr152115840080,you don't ever have my size,variety and size
ios15211584001329,"Most of what’s in the March showroom seems to be the same as last month ",variety and size
adr1521158400125,out of stock in my size in multiple swim suits. and the pictures would not load,variety and size
ios15211584001511,"Every bra/panty set I looked at was not in the size I needed. ",variety and size
a3bb8d998b24d138c846ff019aa3a97b,Didn't see anything that got my attention,variety and size
ios15211584001300,"Need more plus sized options ",variety and size
adr152115840072,I didn't see any matching sets in my size that I thought would look flattering.,variety and size
ios152159040072,The bra that I want isn’t available in my size.,variety and size
ios1521158400257,I really wish you guys had more options for 36G. That size always has a max of five options,variety and size
adr1521158400216,"I couldn't find the new Bridal Panties and I scrolled through the whole website, couldn't find the gem logo for the coupon.",variety and size
ios152202240060,"My size not in stock. ",variety and size
ios152314560017,Nothing new,variety and size
59c290a9c52fb19737583ba3fa735c81,to many to chose from,variety and size
ios15211584001111,"Nothing new...nothing in my size for the past 6 months ",variety and size
adr1521158400310,lack of sizes,variety and size
5f393a454944990356fb1d640bc1a6c2,none of them interest me,variety and size
adr152297280023,"nothing that interesting ",variety and size
ios15211584001320,"Why can’t you have sizes 34-36 G,H and so on?
Neither regular sizes nor plus sizes ever come in small enough band and large enough cup",variety and size
ios1521158400429,Didn’t have my size in bra I liked,variety and size
ios152271360024,"Can’t find my bra size ",variety and size
ios152409600020,"There’s just a poor selection of things when you have a sale. There’s also never my size. ",variety and size
ios15211584001460,"Nothing really new online. Everything looks the same. ",variety and size
ios152409600021,App would not load shopping category.,variety and size
ios152202240013,Everything I liked didn’t fit me,variety and size
ed71604b5b0d40bc70f2d9f5f95db33d,did not find what i was looking for,variety and size
adr15233184004,you were out of the bra size for the set I wanted to get my girlfriend,variety and size
ios15211584001301,I didn’t see anything interesting so My attention wandered elsewhere,variety and size
ios15211584001464,"The selection of sports bras wasn't as large as it usually is. ",variety and size
bb106492e2aa7c7332306e49de53e4b9,"Bras were either not available or were unsuitable to supportan e-f cup ",variety and size
06fad03a72c6d3dadec107ded29b5896,"could not review my preferences for elitr account.  all items received where not of interest to me ",variety and size
af57a3f2cfd755925ad5dd462f3a7c46,Did not like the collection,variety and size
ios152245440042,Out of stock,variety and size
ios15211584001372,"Haven’t found anything new!  Everything seems to be the same every month.  Your products lack color, style and originality.  It would be mice if your design team could think outside the box.",variety and size
ios15234048008,Lack of sizes has always been an issue for me on this site. I fall in love with something and I can't buy it because you guys don't have my size in stock...,variety and size
ios15211584001173,"Nothing new I liked. ",variety and size
adr152400960010,"size unavailable in all wanted items ",variety and size
080c95a4ce43cc2669ba541787348660,"Y'all were out of stock ",variety and size
5f428333f138de6a3f03e443cb06eea2,sexy sleep ware,variety and size
ios1521158400333,Nothing new yet,variety and size
3dec5de028b3f8a2ce3b2a2280c9b5a5,Didnt have my size,variety and size
ios152305920023,Didn’t like anything in my showroom.,variety and size
56c757379919eaed5d563d182cf80a52,couldnt find what I was lookig for,variety and size
ios152202240046,"didnt find the perfect one,getting married
nxtsayirdau",variety and size
ios152159040037,"I saw some bathing suits in a catalog that was sent with my last order; however, I can not find them on the app or website. ",variety and size
adr152202240011,because this survey won't go away and let me browse,variety and size
adr1521158400210,"not enough inventory ",variety and size
84dfb354b02b870f2400c26b2768ac20,Sizes for liked items not available,variety and size
adr1521158400450,"some of the lingerie is out of my size ",variety and size
ios152202240057,"Not all sizes have been available in the swim suit I’m interested in. It looks like all you have is 3X and nothing else. It has been this way for some
time for that particular style. Viviana black and white plus sizes suit.",variety and size
ios15211584001020,"They don’t have my size on a sleepwear that I really like. ",variety and size
ios152409600035,"Swimming suit I wanted is not in my size ",variety and size
adr1521158400304,nothing I wanted,variety and size
e53f66ffaab6fd54aaa48b0aba83d30b,I wanted a specific swim suit you had in an ad but it's not in your website,variety and size
9b49549e88620e449dc07bedc17e5a11,"You don't really have my size in stock. Your site lists my size but rarely have them in stock, 34G or H.",variety and size
3038d494d73be644ed50f677e1c37627,Couldn’t find it fast enough so I lost interest,variety and size
adr152331840018,couldn't find what I was looking for.,variety and size
adr1521158400142,"I need more cute thing on my size ",variety and size
6f5db319b84ec0946dd596b8a7aa14b0,never have the size I need in the clothes I love,variety and size
ios15246144007,"There are not enough plus size options ",variety and size
adr152297280020,"I would really like a panty that has full cheek coverage.  I love all the other ones too but there are times when you need full cheek coverage ",variety and size
adr15230592006,I use adore me because this is one of the only places I can find my size bra. I'm a 32 G so it's difficult but most of them are unlined which I don't like but the ones that are lined are the most expensive bras on the sight. So sometimes it gets frustrating.,variety and size
29aa6f753d931fba931c11e7ea117895,Didn't see my size,variety and size
e194b6921edbde420136107a584b2f84,"I have been waiting for new styles to come out in the add 2 cup size line, and have not seen anything new in months.",variety and size
adr152115840087,need more options. need new items more often,variety and size
adr152115840062,more selection of nightwear in plus size,variety and size
a9ed933c8b49fb5efe5683d42aeffc36,You do not have my set in stock and dont sell the undies separate,variety and size
ios1521158400867,"I was looking for a plain nude strapless bra but you guys don’t have one. ",variety and size
4a69d26a242d46af9ac89f1c58c9f42f,"You don't carry it anymore ",variety and size
ios1521158400262,"I didn’t see anything I wanted ",variety and size
ios152349120014,"I would love to see more full coverage bikini’s and bras. I am a FULL 36D or 38D many times with a demi bra I pop out. I love many of the plus styles however they are too big. Usually I am a medium in your bottoms however they run tight so I need to go a size up to not pop out like a muffin top. I haven’t ordered anything new because each month there isn’t anything in that category. I am fit not a bikini model by any means curvy (not fat).  I like things that make me feel sexy and have a little bit of color. 
",variety and size
38efd7846e2c9f2f8f94e7749fd6310d,no wireless bra available that were not brallets,variety and size
5830cc0f3c90fe85ea9ea4a200326881,Not simple enough,variety and size
ios152202240014,"There’s not much new in 34 C. Styles seem to be the same over the past 1 1/2 yr. All the “new arrivals” aren’t available in my size or the are the same type of selection month after month. No new exciting colors like you show in headers live bright lavender, pink, teal. ",variety and size
ios152409600026,Wish to find a better deal,variety and size
ios152176320028,"You never seem to have my bra size anymore ",variety and size
ios1521158400386,"Don’t like the new styles ",variety and size
ios15211584001419,Didn’t find one i like,variety and size
ios1521158400791,"Couldn’t find anything I liked in my size. ",variety and size
adr1521158400156,so many unique bras,variety and size
ios1521158400529,"Looking at swimsuits. Didn’t see any style that I could wear. ",variety and size
f4ea318fad94af8027f9afd2fd012591,didnt find anything that caught my eye that i can afford,variety and size
adr15232320009,"I hope to buy a corset with removable straps, because my bras slip down when strapless, but was not able to find one my size. ",variety and size
adr1521158400387,"I'm too small for plus size but too big for average size. I like the plus size styles and don't offer what I need 36dd. 
",variety and size
ae1a1f8a96e291227a2491ffb3f431e6,"I wear a 36G and would like a pushup bra since I'm older and they hang lower:)  You do not carry a push up in that size, which makes me sad since you have such pretty things.  Just because I'm bigger, doesn't mean I want a minimizer, a granny bra, or something without the ooomph I am looking for.",variety and size
ios15211584001180,"The swim is the same as last year in the plus size section ",variety and size
ios1521158400448,You have bra sizes 30A-46G but I couldn’t find my size in the mix of sizes.,variety and size
51d9c662c5f3bc3e7c0e2267e0b00ef2,"The styles I wanted aren't available in my size ",variety and size
553557140928d4e8a292cc5e84b08f64,didn't find anything i liked,variety and size
ios152115840029,"You do not offer most of the colors and prints in the larger sizes my wife wears a 40-42 DD ",variety and size
adr152115840099,"not enough selection in my size. ",variety and size
ios1521158400733,"I couldn’t find the button, but I ended up liking one of the new products so I didn’t need to.",variety and size
